,Track,Distance,Condish,Par Time
36,morphettville,2037,heavy,
37,morphettville,1531,good,
38,morphettville,1531,soft,99.15
39,morphettville,1531,heavy,
40,morphettville,1524,good,
41,morphettville,1524,soft,96.3
42,morphettville,1524,heavy,
43,morphettville,2015,good,124.39500000000001
44,morphettville,2015,soft,
45,morphettville,2015,heavy,
46,morphettville,1000,good,58.44
47,morphettville,1000,soft,58.084999999999994
48,morphettville,1000,heavy,
49,morphettville,1400,good,84.30000000000001
50,morphettville,1400,soft,84.33
51,morphettville,1400,heavy,
52,morphettville,1250,good,
53,morphettville,1250,soft,74.49
54,morphettville,1250,heavy,
55,morphettville,1300,good,77.57
56,morphettville,1300,soft,
57,morphettville,1300,heavy,
58,morphettville,2032,good,127.85
59,morphettville,2032,soft,
60,morphettville,2032,heavy,130.51
61,morphettville,1526,good,93.66
62,morphettville,1526,soft,
63,morphettville,1526,heavy,96.67
64,morphettville,3200,good,205.4
65,morphettville,3200,soft,
66,morphettville,3200,heavy,
67,morphettville,2600,good,165.77
68,morphettville,2600,soft,
69,morphettville,2600,heavy,
70,morphettville,1525,good,91.95
71,morphettville,1525,soft,
72,morphettville,1525,heavy,
73,morphettville,2040,good,125.26
74,morphettville,2040,soft,129.07999999999998
75,morphettville,2040,heavy,
76,morphettville,1522,good,93.36
77,morphettville,1522,soft,
78,morphettville,1522,heavy,
79,morphettville,2038,good,127.18
80,morphettville,2038,soft,
81,morphettville,2038,heavy,
82,morphettville,1530,good,93.61
83,morphettville,1530,soft,
84,morphettville,1530,heavy,
85,morphettville,2023,good,
86,morphettville,2023,soft,126.04
87,morphettville,2023,heavy,
88,morphettville,2025,good,127.36
89,morphettville,2025,soft,129.31
90,morphettville,2025,heavy,
91,morphettville,2014,good,
92,morphettville,2014,soft,125.77000000000001
93,morphettville,2014,heavy,
94,morphettville,1520,good,93.26
95,morphettville,1520,soft,
96,morphettville,1520,heavy,
97,morphettville,2019,good,125.1
98,morphettville,2019,soft,
99,morphettville,2019,heavy,
100,morphettville,1540,good,93.83
101,morphettville,1540,soft,
102,morphettville,1540,heavy,
,Track,Distance,Condish,Par Time
1,bunbury,1116,good,66.075
2,bunbury,1116,soft,67.428
3,bunbury,1116,heavy,
4,bunbury,1705,good,105.72777777777779
5,bunbury,1705,soft,108.56
6,bunbury,1705,heavy,
7,bunbury,1420,good,86.84583333333335
8,bunbury,1420,soft,87.645
9,bunbury,1420,heavy,
10,bunbury,1216,good,73.20666666666666
11,bunbury,1216,soft,74.25333333333333
12,bunbury,1216,heavy,
